size,n_windows,kind,model,skill,accuracy,ci_half,net,null_net
4000,73,vol,EWMA,0.13888149331744412,,,,
4000,73,vol,RidgeAR-HAR,0.10560677013450108,,,,
4000,73,dir,Logistic,,0.527927927927928,0.11470032425220794,0.2238369518122436,0.31803594015889974
4000,73,dir,MarkovChain,,0.5117117117117117,0.11470032425220794,-0.09973167531762415,0.31803594015889974
4000,73,dir,VAR(returns),,0.5054054054054054,0.11470032425220794,-0.13257754593841714,0.3424338821083128
4000,73,dir,GP(returns),,0.5396396396396397,0.11470032425220794,0.03678100112920263,0.3424338821083128
4000,73,dir,ESN,,0.4873873873873874,0.11470032425220794,-0.48099428943201994,0.3424338821083128
10000,373,vol,EWMA,0.11783046272995557,,,,
10000,373,vol,RidgeAR-HAR,0.12542424436279268,,,,
10000,373,dir,Logistic,,0.48841354723707664,0.05074247656169278,-0.16307346241589687,-0.05623321582416923
10000,373,dir,MarkovChain,,0.5019607843137255,0.05074247656169278,-0.11797841121447096,-0.05623321582416923
10000,373,dir,VAR(returns),,0.48859180035650623,0.05074247656169278,-0.22192849768271772,-0.03446194275580295
10000,373,dir,GP(returns),,0.49429590017825314,0.05074247656169278,-0.2959680477756805,-0.03446194275580295
10000,373,dir,ESN,,0.49554367201426025,0.05074247656169278,-0.18552156427973718,-0.03446194275580295
20000,873,vol,EWMA,0.12520941354844647,,,,
20000,873,vol,RidgeAR-HAR,0.14895597473832076,,,,
20000,873,dir,Logistic,,0.5099160945842868,0.033167974727698224,0.00427692446770155,0.07010627120646344
20000,873,dir,MarkovChain,,0.5061022120518688,0.033167974727698224,-0.15092257603154294,0.07010627120646344
20000,873,dir,VAR(returns),,0.5104500381388253,0.033167974727698224,-0.10282408419565596,0.16672947353558648
20000,873,dir,GP(returns),,0.5187643020594965,0.033167974727698224,-0.08093344783680531,0.16672947353558648
20000,873,dir,ESN,,0.4993135011441648,0.033167974727698224,-0.29157943489451993,0.16672947353558648
